
00,96,446
01,56,398
02,55,464
03,-4,450
10,25,448
11,6,422
12,-2,431
13,-9,449
20,39,463
21,-5,440
22,-4,403
23,58,497
30,12,411
31,40,435
32,35,461
33,76,474
00.01,-1,17
00.02,2,24
00.03,6,30
00.10,2,22
00.11,22,58
00.12,16,48
00.13,4,26
00.20,5,29
00.21,10,34
00.22,17,49
00.23,5,29
00.30,-1,17
00.31,0,18
00.32,-4,4
00.33,12,40
01.00,-4,4
01.02,-4,6
01.03,19,49
01.10,10,42
01.11,-4,6
01.12,10,44
01.13,2,26
01.20,23,67
01.21,-2,16
01.22,3,29
01.23,-1,21
01.30,4,32
01.31,-3,15
01.32,6,34
01.33,-4,6
02.00,-4,12
02.01,-5,9
02.03,-1,25
02.10,1,31
02.11,9,47
02.12,44,116
02.13,1,29
02.20,10,50
02.21,-3,15
02.22,-2,20
02.23,-5,7
02.30,-2,20
02.31,9,49
02.32,-3,19
02.33,-4,14
03.00,-6,16
03.01,-6,12
03.02,-6,12
03.10,-4,26
03.11,-6,14
03.12,-5,23
03.13,4,60
03.20,-6,20
03.21,-3,31
03.22,-6,20
03.23,5,61
03.30,13,81
03.31,-4,30
03.32,-6,20
03.33,-5,23
10.00,-4,16
10.01,6,38
10.02,6,44
10.03,3,37
10.11,10,52
10.12,-1,27
10.13,-5,9
10.20,3,35
10.21,5,43
10.22,-3,19
10.23,5,41
10.30,-3,19
10.31,-1,27
10.32,-3,21
10.33,-3,19
11.00,-6,18
11.01,-6,6
11.02,-6,14
11.03,-1,43
11.10,-6,14
11.12,1,53
11.13,-6,18
11.20,-6,8
11.21,-5,27
11.22,-6,12
11.23,2,58
11.30,6,58
11.31,-6,8
11.32,3,59
11.33,-5,25
12.00,-5,15
12.01,-5,21
12.02,5,53
12.03,0,38
12.10,-6,12
12.11,-5,5
12.13,-4,26
12.20,-4,26
12.21,-4,24
12.22,-1,35
12.23,-2,32
12.30,3,49
12.31,-5,19
12.32,10,70
12.33,-5,5
13.00,-5,13
13.01,-6,8
13.02,-5,5
13.03,22,96
13.10,-5,15
13.11,-2,30
13.12,-2,30
13.20,4,52
13.21,-4,20
13.22,7,57
13.23,0,38
13.30,-5,15
13.31,3,47
13.32,-6,12
13.33,-6,10
20.00,-3,17
20.01,-5,5
20.02,0,28
20.03,-1,25
20.10,12,54
20.11,-4,16
20.12,-4,14
20.13,-4,12
20.21,3,33
20.22,1,31
20.23,-2,20
20.30,37,105
20.31,7,43
20.32,1,31
20.33,0,28
21.00,-6,16
21.01,-6,16
21.02,-6,20
21.03,-6,8
21.10,-6,16
21.11,13,93
21.12,-2,40
21.13,-3,35
21.20,-6,8
21.22,-6,14
21.23,-6,20
21.30,0,50
21.31,-4,32
21.32,-6,16
21.33,1,55
22.00,-5,15
22.01,-5,17
22.02,-3,29
22.03,-5,5
22.10,-4,26
22.11,2,44
22.12,-2,30
22.13,9,59
22.20,-5,21
22.21,-5,5
22.23,-2,30
22.30,-6,12
22.31,5,55
22.32,-5,17
22.33,-1,37
23.00,3,37
23.01,-4,12
23.02,-2,22
23.03,4,40
23.10,-4,14
23.11,-3,21
23.12,-3,19
23.13,30,94
23.20,-1,25
23.21,9,51
23.22,-5,7
23.30,18,70
23.31,9,41
23.32,1,31
23.33,-4,12
30.00,-2,32
30.01,-4,26
30.02,-6,14
30.03,8,64
30.10,-5,15
30.11,0,38
30.12,12,72
30.13,-5,17
30.20,-5,19
