
 
 
00,-5,33
01,2,44
02,-7,43
03,-4,36
04,-2,55
05,1,43
06,-2,50
07,9,43
08,6,45
09,7,43
10,-10,32
11,0,36
12,9,45
13,2,38
14,7,61
15,2,40
16,-4,40
17,-4,53
18,-2,49
19,5,41
20,-7,45
21,13,57
22,-6,43
23,-7,43
24,-4,38
25,0,40
26,-5,39
27,-1,46
28,-6,52
29,5,65
30,11,43
31,11,51
32,-8,40
33,-2,43
34,20,50
35,3,43
36,2,47
37,-4,44
38,-10,38
39,-1,42
40,15,57
41,-5,52
42,2,40
43,-3,42
44,-2,45
45,4,46
46,1,45
47,-5,43
48,-6,46
49,6,46
50,-7,43
51,0,44
52,-3,40
53,-7,39
54,-4,52
55,1,61
56,-4,50
57,-4,40
58,-4,44
59,-2,34
60,-7,31
61,6,44
62,3,45
63,-2,44
64,8,38
65,-6,42
66,-1,50
67,-2,40
68,-5,47
69,-4,48
70,4,50
71,0,37
72,-8,42
73,-3,53
74,-8,44
75,4,44
76,-2,46
77,-6,42
78,4,55
79,-4,37
80,-2,40
81,0,37
82,1,48
83,-4,47
84,-2,38
85,5,43
86,5,45
87,4,49
88,-3,33
89,0,36
90,3,49
91,3,41
92,-6,40
93,-7,47
94,-3,35
95,1,57
96,-1,33
97,5,59
98,-1,51
99,-1,35
010,-4,40
100,2,42
101,-7,47
102,1,43
103,-6,56
104,-2,40
105,1,49
106,-4,48
107,-4,36
108,10,36
109,-10,42
110,4,40
210,11,39
310,-3,57
410,-4,42
510,-11,39
610,3,39
710,10,50
810,1,51
910,1,43
1010,-7,51
00.04,1,1
00.05,-1,1
00.16,1,1
00.26,-1,1
00.28,1,1
00.30,1,1
00.35,1,1
00.36,-1,1
00.39,1,1
00.40,1,1
00.42,1,1
00.47,-1,1
00.50,-1,1
00.56,-1,1
00.70,-1,1
00.72,1,1
00.73,1,1
00.75,-1,1
00.76,1,1
00.77,-1,1
00.80,1,1
00.82,-1,1
00.85,-1,1
00.89,-1,1
00.96,-1,1
00.98,1,1
01.05,-1,1
01.06,1,1
01.07,-1,1
01.08,1,1
01.15,1,1
01.16,1,1
01.19,1,1
01.20,-1,1
01.24,1,1
01.29,1,1
01.30,-1,1
01.31,-1,1
01.34,1,1
01.35,-1,1
01.37,1,1
01.45,-1,1
01.47,-1,1
01.48,1,1
